TimeStep,Temperature,Vac,Pac
6:15,23.2,208.69,0
6:20,23.2,208.51,0
6:25,23.2,209.1,0.72
6:30,23.27,209.13,11.59
6:35,23.78,209.02,29.57
6:40,23.86,208.93,57.61
6:45,24.38,209.11,93.42
6:50,24.5,209.32,132.48
6:55,24.9,209.51,196.09
7:00,25.1,209.35,171.71
7:05,25.1,209.47,179.45
7:10,25.1,209.12,140.13
7:15,25.27,209.16,155.54
7:20,25.7,209.19,200.84
7:25,25.9,209.73,264.48
7:30,26.39,209.65,283.92
7:35,26.5,209.6,329.28
7:40,26.96,209.54,349.76
7:45,27,209.42,363.14
7:50,27.32,209.4,412.31
7:55,27.61,209.8,456.58
8:00,28.16,210.13,491.3
8:05,28.3,210.56,516.03
8:10,28.84,211.23,541.23
8:15,29.18,211.12,589.66
8:20,29.48,210.77,584.59
8:25,29.74,210.76,622.64
8:30,30.37,211,735.19
8:35,30.93,210.97,792.32
8:40,31.4,210.76,809.49
8:45,31.68,210.6,822.22
8:50,32,210.65,872.42
8:55,32.44,210.85,889
9:00,32.89,210.65,970.58
9:05,33.32,210.35,1020.07
9:10,33.61,210.36,953.61
9:15,33.83,210.51,1007.14
9:20,34.42,210.38,1068.7
9:25,34.5,210.29,1069.76
9:30,35.13,210.36,1135.88
9:35,35.55,210.62,1257.96
9:40,36.58,210.81,1446.5
9:45,37.2,210.61,1459.93
9:50,37.8,210.72,1533.01
9:55,38.28,210.64,1559.97
10:00,38.89,210.57,1676.09
10:05,39.3,210.74,1694.73
10:10,40.12,210.63,1736.19
10:15,40.52,210.73,1789.7
10:20,41.19,210.73,1925.57
10:25,42.87,210.68,2278.08
10:30,43.2,210.49,2113.75
10:35,43.5,210.45,2119.99
10:40,44.25,210.38,2253.36
10:45,45.13,210.38,2305.12
10:50,45.97,210.49,2510.93
10:55,46.63,210.28,2453.15
11:00,47.34,210.1,2524.81
11:05,47.58,210.31,2558.3
11:10,49.11,210.35,2806.57
11:15,48.59,210.21,2403.48
11:20,48.59,210.28,2465.19
11:25,48.84,210.21,2395.39
11:30,48.74,210.38,2401.23
11:35,49.32,210.64,2518.42
11:40,49.54,210.59,2455.33
11:45,49.08,210.39,2324
11:50,49.58,210.27,2417.07
11:55,50.28,210.34,2568.22
12:00,49.64,210.33,2359.85
12:05,50.45,210.22,2592.64
12:10,50.36,210.02,2337.77
12:15,50.31,210.17,2391.34
12:20,50.12,210.18,2300.33
12:25,50.57,210.22,2489.83
12:30,51.53,210.06,2753.86
12:35,51.98,210.1,2650.7
12:40,51.62,209.91,2474.2
12:45,52.03,210.09,2584.84
12:50,51.49,209.94,2336.62
12:55,51.49,209.95,2414.11
13:00,51.42,209.66,2346.53
13:05,51.47,210.12,2366.72
13:10,51.74,210.13,2456.61
13:15,52.28,210.23,2614.15
13:20,53.29,210.3,2851.85
13:25,53.57,210.29,2765.62
13:30,54.06,210.38,2800.89
13:35,54.11,210.29,2767.97
13:40,54.73,210.15,2784.43
13:45,54.78,210.17,2755.78
13:50,54.01,210.27,2573.59
13:55,54.03,210.2,2609.5
14:00,54.4,210.24,2670.37
14:05,55.7,210.38,3052.9
14:10,56.42,210.19,3226.13
14:15,57.64,210.4,3059.44
14:20,56.11,210.13,2653.87
14:25,55.7,210.26,2712.14
14:30,55.34,210.08,2470.42
14:35,55.18,210.11,2601.69
14:40,55.64,210.32,2764.25
14:45,55.7,210.52,2772.14
14:50,57.37,210.55,3231.53
14:55,57.62,210.54,2950.96
15:00,57.08,210.45,2851.97
15:05,56.38,210.47,2595.72
15:10,56.05,210.54,2589.42
15:15,56.8,210.64,2852.88
15:20,56.01,210.36,2507.5
15:25,56.05,210.25,2659.08
15:30,57.49,210.41,3031.22
15:35,59.33,210.89,3507.33
15:40,59.23,210.82,3056.28
15:45,57.29,210.45,2351.66
15:50,55.9,210.51,2315.44
15:55,57.11,210.86,2754.89
16:00,56.29,210.87,2524.51
16:05,55.88,210.69,2433.62
16:10,55.05,210.51,2244.68
16:15,55.53,210.49,2517.23
16:20,55.04,210.49,2324.81
16:25,54.59,210.37,2048.23
16:30,53.28,210.42,1970.7
16:35,53.12,210.42,2050.55
16:40,52.77,210.28,1800.97
16:45,51.57,210.25,1682.82
16:50,51.04,210.51,1633.12
16:55,50.65,210.46,1633.04
17:00,50.04,210.45,1515.27
17:05,49.46,210.62,1467.1
17:10,48.95,211,1401.22
17:15,48.69,210.04,1393.35
17:20,47.91,209.95,1213.7
17:25,47.11,210.21,1151.31
17:30,46.45,209.89,1016.03
17:35,45.74,210.24,948.33
17:40,44.95,209.98,826.47
17:45,44.26,209.94,743.61
17:50,43.54,209.91,664.68
17:55,43.06,209.94,660.24
18:00,42.69,209.95,643.71
18:05,41.96,209.92,506.11
18:10,41.31,209.92,450.16
18:15,40.8,210.23,468.03
18:20,40.26,210.06,354.62
18:25,39.86,209.92,345.12
18:30,39.58,210.18,328.55
18:35,39,210.13,297.97
18:40,38.68,209.94,284.62
18:45,38.28,210,201.65
18:50,37.76,209.96,173.23
18:55,37.52,210.02,149.95
19:00,37.1,210.02,111.7
19:05,36.66,209.98,94.66
19:10,36.38,209.97,72.15
19:15,35.89,210.06,54.31
19:20,35.78,209.94,30.73
19:25,35.31,209.87,10.93
19:30,35.02,209.72,1.33
19:35,34.5,209.64,0
19:40,34,209.71,0
19:45,33.89,209.74,0
19:50,33.38,209.8,0
19:55,33.18,209.87,0
